DetectionLatitude,DetectionLongitude,UniqueFlightId,SensorTime,DroneType,DroneId
37.826931,-122.423065,8,2024-05-04 00:00:00,Mavic Mini,eiue83jecf1d243944915ed78b4cehen8
37.82712587563446,-122.4220008034393,8,2024-05-04 00:00:01,Mavic Mini,eiue83jecf1d243944915ed78b4cehen8
37.82731617087952,-122.42094714843059,8,2024-05-04 00:00:02,Mavic Mini,eiue83jecf1d243944915ed78b4cehen8
37.82750188573522,-122.41990403497387,8,2024-05-04 00:00:03,Mavic Mini,eiue83jecf1d243944915ed78b4cehen8
37.82768302020151,-122.41887146306912,8,2024-05-04 00:00:04,Mavic Mini,eiue83jecf1d243944915ed78b4cehen8
37.82785957427843,-122.41784943271634,8,2024-05-04 00:00:05,Mavic Mini,eiue83jecf1d243944915ed78b4cehen8
37.82803154796596,-122.41683794391555,8,2024-05-04 00:00:06,Mavic Mini,eiue83jecf1d243944915ed78b4cehen8
37.828198941264105,-122.41583699666673,8,2024-05-04 00:00:07,Mavic Mini,eiue83jecf1d243944915ed78b4cehen8
37.82836175417288,-122.41484659096993,8,2024-05-04 00:00:08,Mavic Mini,eiue83jecf1d243944915ed78b4cehen8
37.82851998669226,-122.41386672682509,8,2024-05-04 00:00:09,Mavic Mini,eiue83jecf1d243944915ed78b4cehen8
37.82867363882225,-122.41289740423221,8,2024-05-04 00:00:10,Mavic Mini,eiue83jecf1d243944915ed78b4cehen8
37.82882271056286,-122.41193862319132,8,2024-05-04 00:00:11,Mavic Mini,eiue83jecf1d243944915ed78b4cehen8
37.82896720191409,-122.41099038370241,8,2024-05-04 00:00:12,Mavic Mini,eiue83jecf1d243944915ed78b4cehen8
37.829107112875946,-122.41005268576552,8,2024-05-04 00:00:13,Mavic Mini,eiue83jecf1d243944915ed78b4cehen8
37.8292424434484,-122.40912552938057,8,2024-05-04 00:00:14,Mavic Mini,eiue83jecf1d243944915ed78b4cehen8
37.829373193631476,-122.40820891454761,8,2024-05-04 00:00:15,Mavic Mini,eiue83jecf1d243944915ed78b4cehen8
37.82949936342517,-122.40730284126663,8,2024-05-04 00:00:16,Mavic Mini,eiue83jecf1d243944915ed78b4cehen8
37.82962095282947,-122.40640730953763,8,2024-05-04 00:00:17,Mavic Mini,eiue83jecf1d243944915ed78b4cehen8
37.8297379618444,-122.40552231936063,8,2024-05-04 00:00:18,Mavic Mini,eiue83jecf1d243944915ed78b4cehen8
37.82985039046994,-122.40464787073559,8,2024-05-04 00:00:19,Mavic Mini,eiue83jecf1d243944915ed78b4cehen8
37.8299582387061,-122.40378396366253,8,2024-05-04 00:00:20,Mavic Mini,eiue83jecf1d243944915ed78b4cehen8
37.830061506552866,-122.40293059814145,8,2024-05-04 00:00:21,Mavic Mini,eiue83jecf1d243944915ed78b4cehen8
37.830160194010254,-122.40208777417236,8,2024-05-04 00:00:22,Mavic Mini,eiue83jecf1d243944915ed78b4cehen8
37.83025430107826,-122.40125549175526,8,2024-05-04 00:00:23,Mavic Mini,eiue83jecf1d243944915ed78b4cehen8
37.83034382775688,-122.40043375089013,8,2024-05-04 00:00:24,Mavic Mini,eiue83jecf1d243944915ed78b4cehen8
37.83042877404611,-122.39962255157698,8,2024-05-04 00:00:25,Mavic Mini,eiue83jecf1d243944915ed78b4cehen8
37.83050913994597,-122.3988218938158,8,2024-05-04 00:00:26,Mavic Mini,eiue83jecf1d243944915ed78b4cehen8
37.83058492545643,-122.39803177760662,8,2024-05-04 00:00:27,Mavic Mini,eiue83jecf1d243944915ed78b4cehen8
37.830656130577516,-122.39725220294943,8,2024-05-04 00:00:28,Mavic Mini,eiue83jecf1d243944915ed78b4cehen8
37.83072275530921,-122.39648316984419,8,2024-05-04 00:00:29,Mavic Mini,eiue83jecf1d243944915ed78b4cehen8
37.830784799651525,-122.39572467829096,8,2024-05-04 00:00:30,Mavic Mini,eiue83jecf1d243944915ed78b4cehen8
37.83084226360446,-122.39497672828969,8,2024-05-04 00:00:31,Mavic Mini,eiue83jecf1d243944915ed78b4cehen8
37.830895147168,-122.39423931984041,8,2024-05-04 00:00:32,Mavic Mini,eiue83jecf1d243944915ed78b4cehen8
37.83094345034217,-122.39351245294311,8,2024-05-04 00:00:33,Mavic Mini,eiue83jecf1d243944915ed78b4cehen8
37.83098717312695,-122.39279612759779,8,2024-05-04 00:00:34,Mavic Mini,eiue83jecf1d243944915ed78b4cehen8
37.83102631552234,-122.39209034380445,8,2024-05-04 00:00:35,Mavic Mini,eiue83jecf1d243944915ed78b4cehen8
37.831060877528344,-122.39139510156309,8,2024-05-04 00:00:36,Mavic Mini,eiue83jecf1d243944915ed78b4cehen8
37.83109085914497,-122.3907104008737,8,2024-05-04 00:00:37,Mavic Mini,eiue83jecf1d243944915ed78b4cehen8
37.83111626037222,-122.39003624173633,8,2024-05-04 00:00:38,Mavic Mini,eiue83jecf1d243944915ed78b4cehen8
37.831137081210066,-122.38937262415088,8,2024-05-04 00:00:39,Mavic Mini,eiue83jecf1d243944915ed78b4cehen8
